code_quartier_prioritaire,code_academie,nbre_eleves_ulis,effectifs_filles,effectifs_garcons
QP061007,70,8,31,51
QP061007,70,13,31,51
QP061007,70,6,31,51
QP076024,70,12,37,55
QP076024,70,0,37,55
QP076024,70,0,37,55
QP076024,70,10,37,55
QP033015,04,15,65,90
QP033015,04,16,65,90
QP033015,04,15,65,90
QP033015,04,15,65,90
QP033002,04,0,66,48
QP033002,04,0,66,48
QP033002,04,0,66,48
QP033002,04,0,66,48
QP087008,22,13,54,60
QP087008,22,12,54,60
QP087008,22,12,54,60
QP087008,22,11,54,60
QP016004,13,0,79,88
QP016004,13,0,79,88
QP016004,13,0,79,88
QP016004,13,11,79,88
QP017004,13,11,49,61
QP017004,13,0,49,61
QP017004,13,0,49,61
QP017004,13,0,49,61
QP079003,13,13,61,75
QP079003,13,22,61,75
QP079003,13,28,61,75
QP079003,13,24,61,75
QP011010,11,22,101,95
QP011010,11,23,101,95
QP011010,11,27,101,95
QP011010,11,22,101,95
QP031003,16,12,53,54
QP031003,16,17,53,54
QP031003,16,15,53,54
QP031003,16,13,53,54
QP044003,17,12,78,94
QP044003,17,10,78,94
QP044003,17,12,78,94
QP044003,17,13,78,94
QP049012,17,23,59,75
QP049012,17,24,59,75
QP049012,17,24,59,75
QP049012,17,24,59,75
QP004001,02,0,58,45
QP004001,02,9,58,45
QP004001,02,0,58,45
QP004001,02,0,58,45
QP013062,02,13,62,52
QP013062,02,14,62,52
QP013062,02,14,62,52
QP013062,02,13,62,52
QP084009,02,14,91,110
QP084009,02,15,91,110
QP084009,02,15,91,110
QP084009,02,16,91,110
QP084016,02,10,103,106
QP084016,02,7,103,106
QP084016,02,12,103,106
QP084016,02,5,103,106
QP026011,08,0,52,58
QP026011,08,0,52,58
QP026011,08,0,52,58
QP026011,08,0,52,58
QP026012,08,0,55,53
QP026012,08,0,55,53
QP026012,08,0,55,53
QP026012,08,0,55,53
QP038009,08,14,71,73
QP038009,08,0,71,73
QP038009,08,11,71,73
QP038009,08,0,71,73
QP042002,10,13,99,127
QP042002,10,13,99,127
QP042002,10,12,99,127
QP042002,10,13,99,127
QP042019,10,13,96,71
QP042019,10,13,96,71
QP042019,10,12,96,71
QP042019,10,13,96,71
QP069001,10,13,108,116
QP069001,10,13,108,116
QP069001,10,13,108,116
QP069001,10,13,108,116
QP021004,07,10,63,72
QP021004,07,8,63,72
QP021004,07,9,63,72
QP021004,07,6,63,72
QP035006,14,11,40,44
QP035006,14,14,40,44
QP035006,14,12,40,44
QP035006,14,13,40,44
QP037012,18,12,65,55
QP037012,18,12,65,55
QP037012,18,11,65,55
QP037012,18,10,65,55
QP037007,18,0,47,50
QP037007,18,0,47,50
QP037007,18,0,47,50
QP037007,18,0,47,50
QP041002,18,12,90,90
QP041002,18,12,90,90
QP041002,18,12,90,90
QP041002,18,12,90,90
QP057017,12,28,67,86
QP057017,12,23,67,86
QP057017,12,25,67,86
QP057017,12,22,67,86
QP088003,12,12,82,83
QP088003,12,13,82,83
QP088003,12,12,82,83
QP088003,12,11,82,83
QP051002,19,12,81,61
QP051002,19,12,81,61
QP051002,19,11,81,61
QP051002,19,13,81,61
QP973011,33,15,96,96
QP973011,33,24,96,96
QP973011,33,25,96,96
QP973011,33,26,96,96
QP060014,20,22,95,89
QP060014,20,13,95,89
QP060014,20,24,95,89
QP060014,20,19,95,89
QP059069,09,0,84,72
QP059069,09,0,84,72
QP059069,09,0,84,72
QP059069,09,0,84,72
QP059044,09,13,47,51
QP059044,09,12,47,51
QP059044,09,11,47,51
QP059044,09,13,47,51
QP059054,09,0,64,73
QP059054,09,0,64,73
QP059054,09,5,64,73
QP059054,09,0,64,73
QP076003,70,13,55,57
QP076003,70,10,55,57
QP076003,70,15,55,57
QP076003,70,12,55,57
QP076021,70,0,49,47
QP076021,70,0,49,47
QP076021,70,0,49,47
QP076021,70,0,49,47
QP024001,04,12,61,67
QP024001,04,12,61,67
QP024001,04,14,61,67
QP024001,04,12,61,67
QP024004,04,11,28,56
QP024004,04,12,28,56
QP024004,04,14,28,56
QP024004,04,11,28,56
QP087007,22,0,84,89
QP087007,22,0,84,89
QP087007,22,0,84,89
QP087007,22,0,84,89
QP079004,13,14,60,59
QP079004,13,15,60,59
QP079004,13,13,60,59
QP079004,13,14,60,59
QP030002,11,0,66,53
QP030002,11,0,66,53
QP030002,11,0,66,53
QP030002,11,0,66,53
QP030010,11,0,85,76
QP030010,11,12,85,76
QP030010,11,0,85,76
QP030010,11,0,85,76
QP030011,11,22,66,52
QP030011,11,22,66,52
QP030011,11,13,66,52
QP030011,11,13,66,52
QP031001,16,0,103,112
QP031001,16,0,103,112
QP031001,16,0,103,112
QP031001,16,0,103,112
QP013021,02,0,62,74
QP013021,02,0,62,74
QP013021,02,0,62,74
QP013021,02,0,62,74
QP084009,02,14,94,103
QP084009,02,15,94,103
QP084009,02,15,94,103
QP084009,02,16,94,103
QP026011,08,0,55,52
QP026011,08,0,55,52
QP026011,08,0,55,52
QP026011,08,0,55,52
QP001007,10,17,96,106
QP001007,10,13,96,106
QP001007,10,15,96,106
QP001007,10,12,96,106
QP069009,10,13,103,87
QP069009,10,12,103,87
QP069009,10,13,103,87
QP069009,10,13,103,87
QP069042,10,14,55,45
